id,timestamp,source,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,image_width,image_height,model_used
287,2025-11-09 22:55:27,live_feed,EmergencyPhone,0.18821021914482117,38.0,3.0,1911.0,1065.0,1920,1080,YOLOv8
288,2025-11-09 22:55:27,live_feed,FireExtinguisher,0.17604580521583557,1.0,9.0,529.0,1062.0,1920,1080,YOLOv8
289,2025-11-09 22:55:27,live_feed,FireExtinguisher,0.17034107446670532,0.0,0.0,1916.0,1070.0,1920,1080,YOLOv8
290,2025-11-09 22:55:27,live_feed,EmergencyPhone,0.1891326904296875,41.0,3.0,1911.0,1065.0,1920,1080,YOLOv8
291,2025-11-09 22:55:27,live_feed,FireExtinguisher,0.1702101081609726,1.0,9.0,529.0,1062.0,1920,1080,YOLOv8
292,2025-11-09 22:55:27,live_feed,FireExtinguisher,0.1627153605222702,0.0,0.0,1916.0,1070.0,1920,1080,YOLOv8
282,2025-11-09 22:55:24,live_feed,Class_39,0.8368736505508423,553.0,1.0,863.0,472.0,1920,1080,YOLOv8
283,2025-11-09 22:55:24,live_feed,Class_39,0.7991011142730713,315.0,4.0,762.0,609.0,1920,1080,YOLOv8
284,2025-11-09 22:55:24,live_feed,Class_41,0.5531156063079834,845.0,2.0,1022.0,224.0,1920,1080,YOLOv8
285,2025-11-09 22:55:24,live_feed,Class_60,0.2863209545612335,15.0,24.0,1882.0,1064.0,1920,1080,YOLOv8
286,2025-11-09 22:55:24,live_feed,Class_63,0.17925918102264404,99.0,78.0,1791.0,1061.0,1920,1080,YOLOv8
272,2025-11-09 22:55:23,live_feed,Class_39,0.8368288278579712,553.0,1.0,863.0,472.0,1920,1080,YOLOv8
273,2025-11-09 22:55:23,live_feed,Class_39,0.7991257905960083,315.0,4.0,762.0,609.0,1920,1080,YOLOv8
274,2025-11-09 22:55:23,live_feed,Class_41,0.5534703135490417,845.0,2.0,1022.0,224.0,1920,1080,YOLOv8
275,2025-11-09 22:55:23,live_feed,Class_60,0.28632912039756775,15.0,24.0,1882.0,1064.0,1920,1080,YOLOv8
276,2025-11-09 22:55:23,live_feed,Class_63,0.17948462069034576,99.0,78.0,1791.0,1061.0,1920,1080,YOLOv8
277,2025-11-09 22:55:23,live_feed,Class_39,0.836807370185852,553.0,1.0,863.0,472.0,1920,1080,YOLOv8
278,2025-11-09 22:55:23,live_feed,Class_39,0.7991052269935608,315.0,4.0,762.0,609.0,1920,1080,YOLOv8
279,2025-11-09 22:55:23,live_feed,Class_41,0.5534328818321228,845.0,2.0,1022.0,224.0,1920,1080,YOLOv8
280,2025-11-09 22:55:23,live_feed,Class_60,0.2863773703575134,15.0,24.0,1882.0,1064.0,1920,1080,YOLOv8
281,2025-11-09 22:55:23,live_feed,Class_63,0.1794499307870865,99.0,78.0,1791.0,1061.0,1920,1080,YOLOv8
264,2025-11-09 22:55:22,live_feed,Class_41,0.5530291199684143,845.0,2.0,1022.0,224.0,1920,1080,YOLOv8
265,2025-11-09 22:55:22,live_feed,Class_60,0.28774797916412354,16.0,24.0,1882.0,1064.0,1920,1080,YOLOv8
266,2025-11-09 22:55:22,live_feed,Class_63,0.17895175516605377,99.0,78.0,1791.0,1061.0,1920,1080,YOLOv8
267,2025-11-09 22:55:22,live_feed,Class_39,0.8362246751785278,553.0,1.0,863.0,472.0,1920,1080,YOLOv8
268,2025-11-09 22:55:22,live_feed,Class_39,0.7981066107749939,315.0,4.0,762.0,609.0,1920,1080,YOLOv8
269,2025-11-09 22:55:22,live_feed,Class_41,0.5511207580566406,845.0,2.0,1022.0,224.0,1920,1080,YOLOv8
270,2025-11-09 22:55:22,live_feed,Class_60,0.2871655821800232,15.0,24.0,1883.0,1064.0,1920,1080,YOLOv8
271,2025-11-09 22:55:22,live_feed,Class_63,0.17989271879196167,98.0,78.0,1791.0,1061.0,1920,1080,YOLOv8
257,2025-11-09 22:55:21,live_feed,Class_39,0.8355783820152283,553.0,1.0,863.0,472.0,1920,1080,YOLOv8
258,2025-11-09 22:55:21,live_feed,Class_39,0.7967240810394287,315.0,4.0,761.0,609.0,1920,1080,YOLOv8
259,2025-11-09 22:55:21,live_feed,Class_41,0.552293062210083,845.0,2.0,1022.0,224.0,1920,1080,YOLOv8
260,2025-11-09 22:55:21,live_feed,Class_60,0.2877287268638611,15.0,24.0,1882.0,1065.0,1920,1080,YOLOv8
261,2025-11-09 22:55:21,live_feed,Class_63,0.17938198149204254,98.0,78.0,1791.0,1061.0,1920,1080,YOLOv8
262,2025-11-09 22:55:21,live_feed,Class_39,0.8365522623062134,553.0,1.0,863.0,472.0,1920,1080,YOLOv8
263,2025-11-09 22:55:21,live_feed,Class_39,0.7990277409553528,315.0,4.0,762.0,609.0,1920,1080,YOLOv8
